Geographic_area,Indicator,Sex,GDP,log_GDP
Afghanistan,GDP per capita (current US$),Total,507.1034319,2.70509655
Albania,GDP per capita (current US$),Total,5353.244856,3.728617108
Algeria,GDP per capita (current US$),Total,3973.964072,3.599223936
American Samoa,GDP per capita (current US$),Total,-,#VALUE!
Andorra,GDP per capita (current US$),Total,40886.39116,4.611578779
Angola,GDP per capita (current US$),Total,2790.726615,3.445717294
Antigua and Barbuda,GDP per capita (current US$),Total,17112.82113,4.233321611
Argentina,GDP per capita (current US$),Total,9912.281809,3.996173641
Armenia,GDP per capita (current US$),Total,4622.733493,3.664898856
Aruba,GDP per capita (current US$),Total,-,#VALUE!
Australia,GDP per capita (current US$),Total,55057.2047,4.740814158
Austria,GDP per capita (current US$),Total,50121.55421,4.700024529
Azerbaijan,GDP per capita (current US$),Total,4793.125559,3.680618806
Bahamas,GDP per capita (current US$),Total,34863.7421,4.542374
Bahrain,GDP per capita (current US$),Total,23503.97713,4.371141356
Bangladesh,GDP per capita (current US$),Total,1855.739824,3.268517088
Barbados,GDP per capita (current US$),Total,18148.24493,4.258834632
Belarus,GDP per capita (current US$),Total,6697.968615,3.825943108
Belgium,GDP per capita (current US$),Total,46345.40329,4.666006666
Belize,GDP per capita (current US$),Total,4815.163711,3.682611057
Benin,GDP per capita (current US$),Total,1219.432672,3.086157827
Bermuda,GDP per capita (current US$),Total,116889.9527,5.067777183
Bhutan,GDP per capita (current US$),Total,3316.175714,3.520637534
Bolivia (Plurinational State of),GDP per capita (current US$),Total,3552.06876,3.550481364
Bosnia and Herzegovina,GDP per capita (current US$),Total,6108.510696,3.785935339
Botswana,GDP per capita (current US$),Total,7961.325181,3.900985363
Brazil,GDP per capita (current US$),Total,8717.186278,3.940376327
Brunei Darussalam,GDP per capita (current US$),Total,31086.75112,4.492575336
Bulgaria,GDP per capita (current US$),Total,9828.148515,3.992471711
Burkina Faso,GDP per capita (current US$),Total,786.8956313,2.895917134
Burundi,GDP per capita (current US$),Total,261.2474725,2.417052097
Cabo Verde,GDP per capita (current US$),Total,3603.781793,3.556758487
Cambodia,GDP per capita (current US$),Total,1643.121389,3.215669649
Cameroon,GDP per capita (current US$),Total,1507.450206,3.178242975
Canada,GDP per capita (current US$),Total,46189.66011,4.664544766
Cayman Islands,GDP per capita (current US$),Total,-,#VALUE!
Central African Republic,GDP per capita (current US$),Total,467.9074406,2.670159951
Chad,GDP per capita (current US$),Total,709.5403101,2.850977073
Chile,GDP per capita (current US$),Total,14896.45387,4.173082896
China,GDP per capita (current US$),Total,10216.63033,4.00930768
"China, Hong Kong Special Administrative Region",GDP per capita (current US$),Total,48713.47375,4.6876491
"China, Macao Special Administrative Region",GDP per capita (current US$),Total,84096.39631,4.924777386
Colombia,GDP per capita (current US$),Total,6428.676206,3.808121552
Comoros,GDP per capita (current US$),Total,1370.148207,3.136767547
Congo,GDP per capita (current US$),Total,2279.969131,3.357928967
Costa Rica,GDP per capita (current US$),Total,12243.81143,4.087916632
Croatia,GDP per capita (current US$),Total,14944.35622,4.174477211
Cuba,GDP per capita (current US$),Total,-,#VALUE!
Curaçao,GDP per capita (current US$),Total,19701.27038,4.294494231
Cyprus,GDP per capita (current US$),Total,27858.371,4.444955718
Czechia,GDP per capita (current US$),Total,23489.83866,4.370880034
Côte d'Ivoire,GDP per capita (current US$),Total,2276.333279,3.357235848
Democratic Republic of the Congo,GDP per capita (current US$),Total,580.7168672,2.763964441
Denmark,GDP per capita (current US$),Total,60213.09215,4.77969093
Djibouti,GDP per capita (current US$),Total,3414.92487,3.533381153
Dominica,GDP per capita (current US$),Total,8110.568512,3.909051297
Dominican Republic,GDP per capita (current US$),Total,8282.116359,3.918141328
East Asia and Pacific,GDP per capita (current US$),Total,-,#VALUE!
Eastern Europe and Central Asia,GDP per capita (current US$),Total,-,#VALUE!
Eastern and Southern Africa,GDP per capita (current US$),Total,-,#VALUE!
Ecuador,GDP per capita (current US$),Total,6183.823825,3.791257108
Egypt,GDP per capita (current US$),Total,3019.205829,3.479892721
El Salvador,GDP per capita (current US$),Total,4187.250031,3.621928894
Equatorial Guinea,GDP per capita (current US$),Total,8131.923888,3.910193305
Estonia,GDP per capita (current US$),Total,23717.79945,4.375074392
Eswatini,GDP per capita (current US$),Total,3894.679807,3.590471759
Ethiopia,GDP per capita (current US$),Total,855.7608623,2.93235242
Europe and Central Asia,GDP per capita (current US$),Total,-,#VALUE!
